land,date,election,institut,auftraggeber,methode,befragte,zeitraum,CDU/CSU,SPD,GRÜNE,FDP,LINKE,AfD,BSW,FW,PIRATEN,SSW,NPD,BIW,Sonstige,weitere
baden-wuerttemberg,1992-04-05,1,,,,,,39.6,29.4,9.5,5.9,,,,,,,,,2.9,REP=10.9;ÖDP=1.9
baden-wuerttemberg,1995-11-24,0,Infratest Burke,Stuttgarter Zeitung,T,1005,09.11.–17.11.,43,26,18,4,,,,,,,,,6,REP=3
baden-wuerttemberg,1996-01-19,0,Infratest Burke,Stuttgarter Zeitung,T,1003,04.01.–14.01.,43,26,17,6,,,,,,,,,4,REP=4
baden-wuerttemberg,1996-02-16,0,Infratest Burke,Stuttgarter Zeitung,T,1002,01.02.–08.02.,45,27,14,6,,,,,,,,,4,REP=4
baden-wuerttemberg,1996-03-16,0,Infratest Burke,Stuttgarter Zeitung,T,1508,04.03.–15.03.,42,30.5,14,6,,,,,,,,,,REP=4.5
baden-wuerttemberg,1996-03-24,1,,,,,,41.3,25.1,12.1,9.6,,,,,,,,,1.3,REP=9.1;ÖDP=1.5
baden-wuerttemberg,1999-05-22,0,Infratest dimap,Stuttgarter Zeitung,T,1000,27.04.–19.05.,48,29,9,8,,,,,,,,,2,REP=4
baden-wuerttemberg,1999-10-16,0,Infratest dimap,Stuttgarter Zeitung,T,1000,27.09.–13.10.,49,27,9,7,,,,,,,,,4,REP=4
baden-wuerttemberg,2000-01-13,0,Infratest dimap,SWR,T,1000,05.01.–10.01.,45,31,10,8,,,,,,,,,3,REP=3
baden-wuerttemberg,2000-06-08,0,Forsa,Stuttgarter Zeitung,T 1.001 29.05.–05.06.,,,42,28,8,12,,,,,,,,,4,REP=6
baden-wuerttemberg,2000-07-14,0,Infratest dimap,SWR,T,1000,06.07.–11.07.,44,31,9,9,,,,,,,,,3,REP=4
baden-wuerttemberg,2000-10-20,0,Infratest dimap,SWR,T,1000,12.10.–17.10.,43,32,9,10,,,,,,,,,3,REP=3
baden-wuerttemberg,2000-12-09,0,Forsa,Stuttgarter Zeitung,T 1.006 29.11.–05.12.,,,40,30,10,10,,,,,,,,,4,REP=6
baden-wuerttemberg,2000-12-15,0,Infratest dimap,Badische Zeitung,T,1000,07.12.–12.12.,42,32,9,10,,,,,,,,,3,REP=4
baden-wuerttemberg,2001-01-26,0,Infratest dimap,Badische Zeitung,T,1000,18.01.–23.01.,40,32,10,10,,,,,,,,,3,REP=5
baden-wuerttemberg,2001-02-17,0,Forsa,Stuttgarter Zeitung,T 1.018 08.02.–14.02.,,,39,31,10,10,,,,,,,,,4,REP=6
baden-wuerttemberg,2001-03-01,0,Infratest dimap,SWR,T,1000,19.02.–24.02.,39,35,8,10,,,,,,,,,3,REP=5
baden-wuerttemberg,2001-03-09,0,Forschungsgruppe Wahlen,"ZDF, SZ, Mannheimer Morgen",T,1010,05.03.–08.03.,41,36,8,8,,,,,,,,,2,REP=5
baden-wuerttemberg,2001-03-15,0,Infratest dimap,SWR,T,1000,09.03.–14.03.,41,35,8.5,8.5,,,,,,,,,2,REP=5
baden-wuerttemberg,2001-03-20,0,Forsa,Stuttgarter Zeitung,T 1.004 12.03.–17.03.,,,41,32,8,9,,,,,,,,,4,REP=6
baden-wuerttemberg,2001-03-25,1,,,,,,44.8,33.3,7.7,8.1,,,,,,,,,1.7,REP=4.4
baden-wuerttemberg,2003-02-11,0,Allensbach,Staats- ministerium,T,1100,03.02.–07.02.,54,24,10,8,,,,,,,,,4,
baden-wuerttemberg,2003-09-30,0,Allensbach,Staats- ministerium,T 12.09.–25.09.,,,52,25,11,7,,,,,,,,,5,
