date,election,CDU/CSU,SPD,GRÜNE,FDP,LINKE,AfD,BSW,FW,PIRATEN,Sonstige,n,period
1994-10-16,1,41.5,36.4,7.3,6.9,4.4,,,,,3.5,,
1998-01-16,0,37,38,10,6,4,,,,,5,,
1998-02-13,0,37,39,10,6,4,,,,,4,,
1998-03-13,0,36,41,9,5,4,,,,,5,,
1998-04-17,0,35,43,8,5,4,,,,,5,,
1998-05-15,0,35,43,8,5,5,,,,,4,,
1998-06-19,0,36,42,8,5,4,,,,,5,,
1998-07-17,0,37,42,7,5,4,,,,,5,,
1998-08-14,0,38,42,6,5,4,,,,,5,,
1998-09-04,0,38,41,6,5,4,,,,,6,,
1998-09-11,0,37,41,6,6,4,,,,,6,,
1998-09-18,0,37.5,39.5,6,5.5,4.5,,,,,7,,
1998-09-27,1,35.1,40.9,6.7,6.2,5.1,,,,,5.9,,
1998-10-16,0,35,44,6,5,4,,,,,6,,
1998-11-13,0,35,44,7,4,4,,,,,6,,
1998-12-11,0,36,44,7,4,4,,,,,5,,
1999-01-22,0,37,44,6,4,4,,,,,5,,
1999-02-26,0,39,42,6,4,4,,,,,5,,
1999-03-19,0,41,41,5,5,4,,,,,4,,
1999-04-16,0,41,41,5,5,4,,,,,4,,
1999-05-21,0,42,40,5,5,4,,,,,4,,
1999-06-25,0,44,38,5,5,4,,,,,4,,
1999-07-23,0,44,38,5,5,5,,,,,3,,
1999-08-20,0,45,36,5,5,5,,,,,4,,
1999-09-24,0,47,34,5,5,5,,,,,4,,
1999-10-15,0,47,33,6,4,6,,,,,4,,
1999-11-12,0,48,33,5,4,6,,,,,4,,
1999-12-10,0,45,36,5,4,6,,,,,4,,
2000-01-21,0,40,39,6,5,6,,,,,4,,
2000-02-18,0,35,42,7,6,6,,,,,4,,
2000-03-17,0,35,43,6,6,5,,,,,5,,
2000-04-14,0,36,42,6,6,5,,,,,5,,
2000-05-19,0,37,40,6,7,5,,,,,5,,
2000-06-23,0,39,38,6,7,5,,,,,5,,
2000-07-28,0,38,40,5,7,5,,,,,5,1255,24.07.–27.07.
